NCTId,Title,Condition,Eligibility,Status
NCT05004727,Multi-Center PAMPA Study,Psoriasis,"Inclusion Criteria:

1. 18 years old or older;
2. Both male \& female;
3. Psoriasis diagnosis (per dermatologist) for at least 2 years (in at least 30% of participants);
4. Willing and able to provide informed consent;
5. Fulfillment of HR-PsO criteria (Psoriasis (PsO) patients will meet the definition of HR if they fulfill the following criteria: a) PsO duration \>2 years and Psoriasis Body Surface Area (BSA) \>3% and positive imaging findings in MSKPDUS defined as a RM-PsASon score of \>3.36

Exclusion Criteria:

1. Evidence of inflammatory joint pain, enthesitis and/or dactylitis on exam;
2. Current systemic immunosuppressive medication use (i.e., methotrexate, apremilast) at the time of enrollment or biologic therapy (ever);
3. RA seropositivity (mid-high RF/ACPA titers);
4. Current active malignancy;
5. History of symptomatic polyarticular OA or other joint conditions (such as RA, gout, etc) that may impair the ability to assess for PsA development
6. Conditions where initiation of guselkumab is prohibited in the prescribing information, including clinically important active infection and untreated latent tuberculosis;
7. Known hypersensitivity to the study agent.",RECRUITING
NCT05377827,Dose-Escalation and Dose-Expansion Study to Evaluate the Safety and Tolerability of Anti-CD7 Allogeneic CAR T-Cells (WU-CART-007) in Patients With CD7+ Hematologic Malignancies,"T-Cell Non-Hodgkin Lymphoma, Acute Myeloid Leukemia, Angioimmunoblastic T-cell Lymphoma, Enteropathy-Associated T-Cell Lymphoma, Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma, Peripheral T Cell Lymphoma, Anaplastic Large Cell Lymphoma, Adult T Cell Leukemia, Adult T Cell Lymphoma, T Cell Prolymphocytic Leukemia, Extranodal NK/T-cell Lymphoma, Transformed Mycosis Fungoides, Sezary Syndrome, Primary Cutaneous Gamma-Delta T-Cell Lymphoma, Hepatosplenic T-cell Lymphoma","Inclusion Criteria:

Specific criteria apply to each disease subtype with T-NHL and AML cohorts.

In general, all patients must have CD7 expression and confirmed diagnoses of T-cell non Hodgkin lymphoma or acute myeloid leukemia (any subtype except acute promyelocytic leukemia) according to World Health Organization (WHO) classification29, and have relapsed or refractory disease.

For the T-NHL cohort, patients will have T-cell non-Hodgkin lymphoma with relapsed or refractory disease defined as one of the following:

-Relapsed or refractory after at least 2 or more prior lines of therapy (for patients with anaplastic large cell lymphoma, they must have prior therapy brentuximab vedotin). For patients with T-PLL, only 1 or more prior line of therapy is required.

OR

* Relapsed after autologous or allogeneic hematopoietic cell transplant.
* Permissible T-cell NHL subtypes will include:

  * angioimmunoblastic T-cell lymphoma (AITL)
  * enteropathy-associated T-cell lymphoma (EATL)
  * monomorphic epitheliotropic intestinal T-cell lymphoma (MEITL)
  * peripheral T-cell lymphoma (PTCL) NOS
  * anaplastic large cell lymphoma (ALCL)
  * adult T-cell leukemia/lymphoma
  * T-cell prolymphocytic leukemia (T-PLL)
  * extranodal NK/T cell lymphoma
  * transformed mycosis fungoides/Sezary Syndrome
  * primary cutaneous gamma/delta T-cell lymphoma
  * hepatosplenic T cell lymphoma

For the AML cohort, patients will have Acute Myeloid Leukemia with relapsed or refractory disease unlikely to benefit from standard therapy defined as one of the following:

-Primary refractory AML defined as:

* Minor or no response to intensive induction chemotherapy with more than 15% blasts and less than 50% proportional reduction in blast percentage after C130
* Absence of morphological CR/CRi following either:

  * 2 cycles of intensive induction chemotherapy
  * 2 cycles of HMA plus venetoclax, or
  * 4 total cycles of an HMA

OR

-Morphologic relapse (≥ 5% bone marrow blasts) with either:

* Initial CR duration \< 1 year
* Prior unsuccessful salvage attempt or allogeneic HCT
* 2nd relapse or higher

OR

-Disease progression while on treatment with HMA+/-venetoclax for MDS/AML

Patients with a susceptible FLT3, IDH1 or IDH2 mutation should be resistant or intolerant to an agent targeting the specific mutation or otherwise be determined to be ineligible to receive a targeted agent by their treating physician.

Additional inclusion criteria for both cohorts are:

* CD7 positive expression must be demonstrated in malignant cells in bone marrow, peripheral blood, or lymph node biopsies (fresh or archival) by Washington University Pathology lab. For both dose escalation and dose-expansion, any qualitative expression of CD7 will be permitted.
* Age ≥ 18 years of age
* Eastern Cooperative Oncology Group Performance Status ≤ 2
* Adequate organ function as defined below:

  * Total bilirubin ≤ 2x ULN (unless the patient has Grade 1 bilirubin elevation due to Gilbert's disease or a similar syndrome involving slow conjugation of bilirubin).
  * AST(SGOT) and ALT(SGPT) ≤ 5x ULN
  * Creatinine within normal institutional limits OR creatinine clearance ≥ 30 mL/min/1.73 m2 by Cockcroft-Gault Formula
  * Oxygen saturation ≥ 90% on room air
  * Ejection fraction ≥ 40% confirmed by echocardiogram or MUGA
* The effects of WU-CART-007 on the developing human fetus are unknown. For this reason, women of childbearing potential and male patients (along with their female partners) are required to use two forms of acceptable contraception, including one barrier method, during participation in the study and for 12 months following the last dose of WU-CART-007. Should a woman (or the female partner of a male patient) become pregnant or suspect she is pregnant while participating in this study, she must inform her treating physician immediately.
* Able to understand and willing to sign an IRB approved written informed consent document.
* For AML patients, circulating blast count must be \<30,000/µL by morphology or flow cytometry (cytoreductive therapies including leukapheresis or hydroxyurea are allowed as defined by protocol)
* Patients must have no other effective standard of care therapy options, and patients must be unwilling or unable to travel to another site for treatment.

Exclusion Criteria:

Patients will be excluded from study entry for any of the following:

* Received systemic anticancer therapy (including investigational therapy) or radiotherapy \< 28 days or 5 half-lives, whichever is shorter, prior to the start of lymphodepleting chemotherapy with the exception of bridging treatment as defined by protocol.
* Received any T-cell lytic or toxic antibody (e.g., alemtuzumab) within 8 weeks prior to lymphodepleting chemotherapy.
* Subjects who have received a prior allogeneic HCT are excluded if any of the following criteria are present:

  * \< 100 days post alloHCT
  * \< 6 weeks from prior donor leukocyte infusion
  * Presence of acute or extensive chronic GVHD requiring systemic immunosuppression except for prednisone ≤ 10 mg or equivalent.
  * \< 28 days from last dose of systemic immunosuppressive therapy (eg. calcineurin inhibitors, immunosuppressive antibodies, mycophenolate mofetil, ruxolitinib, ibrutinib) except for prednisone ≤ 10 mg or equivalent.
* Previous treatment with any anti-CD7 directed therapy.
* Known hypersensitivity to one or more of the study agents.
* Active or latent Hepatitis B or active Hepatitis C without previous curative treatment.
* Confirmed HIV infection.
* History of concurrent second cancers requiring active, ongoing systemic treatment with the exception of adjuvant hormonal therapy for breast or prostate cancer.
* Pregnant and/or breastfeeding. Women of childbearing potential must have a negative serum or urine pregnancy test at time of enrollment and within 7 days of starting lymphodepleting chemotherapy.
* Serious active infection or another serious underlying medical condition that in the opinion of the treating physician would impair the ability of the patient to receive protocol treatment including, but not limited to symptomatic congestive heart failure, unstable angina pectoris, uncontrolled cardiac arrhythmia or serious, unstable neurologic symptoms.
* Symptomatic, uncontrolled hypotension.",RECRUITING
NCT06480227,Trial of Transurethral Bulking Agent Injection Versus Single-Incision Sling for Stress Urinary Incontinence,"Stress Urinary Incontinence, Urinary Incontinence, Mixed Urinary Incontinence","Inclusion Criteria:

* Women \>21 years
* Bothersome SUI (PFDI-20 Q:#17 of somewhat, moderately or quite a bit) or stress predominant MUI (PFDI-20 Q:#16 \< Q:#17)50 for \> 3 months with well-controlled UUI on stable medication treatment through baseline and follow-up.
* A positive cough stress test or urodynamic SUI within the past 18 months.
* Normal voiding function as demonstrated by PVR \< 150 mL
* Candidate for either study procedure as determined by treating surgeon (i.e., failed or unable to perform conservative management for SUI including pelvic floor strengthening and failed or declines pessary option for SUI)
* Available for up to 3 years.
* Agrees to randomization.

Exclusion Criteria:

* Anterior/apical vaginal prolapse beyond the hymen (\>0 on POPQ) - Advanced prolapse may require additional surgery or potentially increase the risk of postoperative urinary obstruction and confound the results of the study.
* Urge-predominant mixed UI by UDI-6 despite stable therapy - Urge predominant UI would not be expected to improve after TBA or SIS and may bias results of interventions designed specifically for stress urinary incontinence.
* Planned hysterectomy, urethral or anterior/apical surgeries - additional surgery beyond TBA or SIS has potential to confound the results. Additionally, these procedures generally require general anesthesia and indwelling catheterization immediately post operatively. The impact of urethral instrumentation after TBA is unknown and could impact the efficacy of the urethral coaptation.
* Malignancy or history of radiation of the pelvis - The risk of foreign material rejection and mesh complications may be higher in women with pelvic radiation and other treatment for pelvic malignancy may impact primary outcomes.
* Pregnant, breast feeding or plans for pregnancy within 1 year - subsequent vaginal delivery and hormonal changes of breast feeding prior to primary outcome could impact the efficacy of either treatment.
* Incomplete emptying (PVR \> 150mL) - SUI surgery may increase the risk of urinary retention.
* Prior anti-incontinence procedure - the aim of the study is to identify the role of TBA and SIS in primary, uncomplicated SUI or stress predominant MUI management.
* Neurogenic bladder - the aim of the study is to identify the role of TBA and SIS in primary, uncomplicated SUI or stress predominant MUI management.
* Prior adverse reaction to synthetic mesh or polyacrylamide - to minimize risk of post procedure complications.
* Chronic bladder or pelvic pain conditions (e.g., Interstitial cystitis, painful bladder syndrome, fibromyalgia, chronic pelvic pain, etc.) - given the known risks of postoperative pain with SIS and higher risks of pain in those with baseline chronic pain, we aim to minimize post operative complications.
* Active 3rd line treatment for OAB/UUI with botulinum toxin, sacral neuromodulation stimulation (SNS) or percutaneous tibial nerve stimulation (PTNS) within 12 months or plan for 3rd line or new OAB/UUI treatment within 1 year of SUI surgery. For those on stable medication OAB/UUI treatment, participants should be on stable treatment for 3 months with adequate symptom control prior to baseline measures and plan to remain on stable therapy without 3rd line treatment plans within 1 year of SUI surgery. Those who have received 3rd line treatment (Botox. PTNS or SNS) should have a washout of 1yr from and no plans for restarting within the primary outcome timeframe of 1 year post procedure. Those using SNS for bowel leakage only and no UUI symptoms do not require minimum 3 months. Participants with MUI on OAB/UUI medication therapy will still need to have SUI worse than UUI at baseline. Randomization will be stratified based on presence of UUI treatment component.
* Active treatment for SUI with a pessary. For those using a pessary or other SUI support device, a 3-week washout period should occur prior to assessing baseline measures.",RECRUITING
NCT03015727,Induction Chemotherapy Followed by Radiotherapy Alone or Concurrent Chemoradiotherapy in Nasopharyngeal Carcinoma,Locally Advanced Nasopharyngeal Carcinoma,"Inclusion Criteria:

1. Patients with newly histologically confirmed non-keratinizing carcinoma.
2. Tumor staged as N2-3 or T3-4 (according to the 7th AJCC staging system)
3. No evidence of distant metastasis (M0)
4. Performance status: KPS\>70
5. With normal liver function test (ALT, AST \<1.5ULN)
6. Renal: creatinine clearance \>60ml/min
7. Without hematopathy,marrow: WBC \>4\*109/L, HGB\>80G/L, and PLT\>100\*109/L.
8. With controlled blood glucose for diabetes patients
9. Written informed consent
10. satisfactory tumor response (complete response or partial response) after neoadjuvant chemotherapy (NACT)

Exclusion Criteria:

1. WHO type I squamous cell carcinoma or adenocarcinoma
2. Age \>65 or \<18
3. With a history of renal disease
4. Prior malignancy (except adequately treated carcinoma in-situ of the cervix or basal/squamous cell carcinoma of the skin)
5. Previous chemotherapy or radiotherapy (except non-melanomatous skin cancers outside the intended RT treatment volume)
6. Patient is pregnant or lactating
7. Peripheral neuropathy
8. Emotional disturbance",RECRUITING
NCT05814627,Study to Assess Change in Disease Activity and Adverse Events of Oral Upadacitinib Compared to Subcutaneous Adalimumab in Adult Participants With Moderate to Severe Rheumatoid Arthritis,Rheumatoid Arthritis,"Inclusion Criteria:

* Diagnosis of Rheumatoid Arthritis (RA) for \>= 3 months based on the 2010 American College of Rheumatology/European Alliance of Associations for Rheumatology (ACR/EULAR) classification criteria for RA.
* Treated for \>= 3 consecutive months prior to screening with 1 tumor necrosis factor inhibitor (TNFi) (only 1 of originator or biosimilar certolizumab pegol, etanercept, golimumab or infliximab) for RA, but continue to exhibit active RA, or had to discontinue due to intolerability or toxicity, irrespective of treatment duration. Up to 15% of participants who were intolerant to 1 TNFi will be allowed to enroll. Prior administration of different biosimilar versions for the same originator TNFi or switching between originator and biosimilar version of the same originator TNFi are acceptable. Cycling between biosimilars of different originator TNF inhibitors is not acceptable.
* On oral or parenteral methotrexate (MTX) therapy \>= 3 consecutive months and on a stable prescription of 15 to 25 mg/week (or \>= 10 mg/week in participants intolerant of MTX at doses \>= 15 mg/week) for \>= 4 weeks prior to the first dose of study drug. In addition, all participants should take a dietary supplement of folic acid or folinic acid throughout the study participation.

  * For a Chinese, Japanese, Korean, or Taiwanese participant, a stable dose of MTX \>= 7.5 mg/week is acceptable.
  * Additional local requirements for MTX may apply.
* Meets both of the following disease activity criteria:

  * \>= 6 swollen joint (based on 66 joint counts) and \>= 6 tender joints (based on 68 joint counts) at screening and baseline;
  * High-sensitivity C-reactive protein (hsCRP) \>= 3 mg/L (central lab, upper limit of normal \[ULN\] 2.87 mg/L) at screening.

Exclusion Criteria:

* History of any arthritis with onset prior to age 17 years or current diagnosis of inflammatory joint disease other than Rheumatoid Arthritis (RA).
* Prior exposure to any janus kinase (JAK) inhibitor.
* Prior exposure to adalimumab (original or biosimilar) or to any approved or investigational TNF inhibitor other than infliximab, etanercept, certolizumab pegol and golimumab.
* Prior exposure to an approved or investigational non-TNFi biologic disease modifying anti-rheumatic drug (bDMARD) or targeted synthetic disease modifying antirheumatic drug (tsDMARD).",RECRUITING
NCT03150576,Platinum and Polyadenosine 5'Diphosphoribose Polymerisation Inhibitor for Neoadjuvant Treatment of Triple Negative Breast Cancer and/or Germline BRCA Positive Breast Cancer,Breast Cancer,"Inclusion Criteria:

* Aged between 16 and 70.
* Written informed consent, willing and able to comply with the Protocol for the duration of the trial including undergoing treatment and scheduled visits and examinations.
* Histologically confirmed invasive breast cancer.
* ER-negative\*, and HER2-negative\*\* breast cancer (TNBC). Patients will be eligible with any PR status but PR expression must be scored.

OR

* Germline BRCA (gBRCA) mutation positive, HER2 negative, and PgR / ER of any status.
* T1, T2 or T3 tumours.
* T4 tumour of any size with direct extension to (a) chest wall or (b) skin. OR Inflammatory carcinoma with tumour of any size. OR

Other Locally Advanced Disease:

* Involvement of ipsilateral large or fixed axillary lymph nodes, or infra or supraclavicular nodes (\>10mm diameter or clinical N2 or N3) and primary breast tumour of any diameter.
* Involvement of ipsilateral large or fixed axillary lymph nodes, or infra or supraclavicular nodes (\>10mm diameter, or clinical N2 or N3), without a primary breast tumour identified, the presence of breast cancer in a Lymph Node (LN) must be histopathologically confirmed by LN biopsy.

OR

Multifocal tumour:

- with at least one tumour with a size\>10mm.

* Patients with bilateral disease are eligible to enter the trial provided that both breast disease meets the above criteria.
* Be fit to receive the trial chemotherapy regimen in the opinion of the responsible clinician:

Adequate bone marrow, hepatic, and renal function. ECOG performance status of 0, or 1.

* Treatment should be commenced within 6 weeks of the diagnostic biopsy. In uncommon circumstances, where medically acceptable, treatment is permitted to start within a maximum of 9 weeks of the diagnostic biopsy.
* Availability of the Tumour Infiltrating Lymphocytes score is required.
* Availability of CK 5/6 and EGFR +/- Androgen Receptor IHC score.
* Availability of slides and paraffin embedded tissue blocks from pre-chemotherapy core biopsy and from primary surgical resection is required.
* Women of child-bearing potential (WCBP), defined as not surgically sterilized or not post-menopausal for at least 24 consecutive months if age ≤55 year or 12 months if age \>55 years, must have a negative serum or urine pregnancy test within 14 days prior to randomisation.
* All WCBP and all sexually active male patients as well as their partners must be aware that they should not conceive during the treatment period and therefore should routinely use effective forms of contraception, throughout their participation in the trial and for at least 6 months after the last dose of trial treatment. Please follow the olaparib contraception guidelines.

Exclusion Criteria:

* T0 tumour in absence of axillary node \>10mm.
* TNBC with a non-basal phenotype which strongly expresses Androgen Receptor.
* Previous or concomitant chemotherapy or biological agents used for the treatment of cancer in the last 5 years.
* Malignancy within the last 5 years except: adequately treated non-melanoma skin cancer; curatively treated in situ cancer of the cervix; ductal carcinoma in situ (DCIS); Stage 1, grade 1 endometrial carcinoma; or other solid tumours including lymphomas (without bone marrow involvement) curatively treated with no evidence of disease for ≥5 years.
* Patients with myelodysplastic syndrome/acute myeloid leukaemia.
* Evidence of distant metastasis apparent prior to randomisation.
* Patients with uncontrolled seizures.
* Pre-existing sensory or motor neuropathy of CTCAE v4.03, grade ≥2.
* Concomitant use of known potent CYP3A4 inhibitors and inducers. Consider wash-out periods.
* Pregnant or breast feeding women.
* Not suitable for neoadjuvant chemotherapy in the opinion of the responsible clinician.
* Major surgery within 14 days of starting trial treatment and patients must have recovered from any effects of any major surgery.
* Any evidence of other disease or any concomitant medical or psychiatric problems which in the opinion of the Investigator would prevent completion of treatment or follow-up. For example:

Evidence of severe or uncontrolled cardiac disease Uncontrolled ventricular arrhythmia Recent myocardial infarction (within 12 months) Active infection including Hepatitis B, Hepatitis C and Human Immunodeficiency virus (HIV). Screening for chronic conditions is not required.

* ECG with mean resting QTc \>470 msec on 2 or more time points within a 24 hour period or family history of long QT syndrome.
* Patients unable to swallow orally administered medication and patients with gastrointestinal disorders likely to interfere with absorption of the trial medication
* Known hypersensitivity to olaparib, carboplatin, paclitaxel or their excipients (including cremophor).
* Whole blood transfusions in the last 120 days prior to blood sampling for BRCA test as it may interfere with the results (packed red blood cells and platelet transfusions are acceptable).",RECRUITING
NCT05840276,Cryoneurolysis Prior to Total Knee Arthroplasty,"Post Operative Pain, Knee Osteoarthritis, Opioid-Related Disorders","Inclusion Criteria:

* Scheduled for unilateral, primary total knee arthroplasty
* Age ≥ 18y
* Written and oral understanding of Danish.

Exclusion Criteria:

* Contraindications against ibuprofen or paracetamol, for example previous gastric ulcer, or known renal failure (eGRF \< 60 ml/kg/1,73m2), known thrombocytopenia (\< 100 bil/l); or against treatment with morphine
* History of neuropathic pain
* Previous recipient of cryoneurolysis for the knee
* Patients with daily use of high dose opioid (\> oral morphine 30 mg/day or oxycodone 30 mg/day or tramadol 150 mg/day) or any use of other opioids including methadone and transdermal opioids
* Uncontrolled serious disease (cancer, diabetes, etc.)
* Disease associated with reactions to cold, such as cryoglobulinemia, cold urticarial and Reynaud's syndrome.",RECRUITING
NCT05248776,"Efficacy, Safety and Pharmacokinetics Study of CPL207280 After 2-weeks Administration in Subjects With Type 2 Diabetes",Type 2 Diabetes,"Inclusion Criteria:

* Participant with type 2 diabetes who are newly diagnosed (no longer than 3 years before the study) managed with diet and exercise alone, or who failed to achieve adequate glycemic control on a stable dose of metformin and willing to discontinue it at least 10 days prior to randomization and during the study.
* Participant has fasting plasma glucose level less than or equal 180 mg/dL.
* Participant has calculated homeostasis model assessment for insulin resistance (HOMA-IR) value less than or equal to 7.
* Participant has body-mass index (BMI): ≥ 18.50 kg/m² and ≤ 40.00 kg/m².
* Participant should have a HbA1c concentration greater than or equal to 6.0% and less than or equal to 8.0%.
* Participant has not received treatment with weight-loss drugs within the 3 months prior to the study
* Participant has a systolic blood pressure less than or equal to 160 mm Hg and a diastolic blood pressure of less than or equal to 100 mm Hg.
* Participant has the clinical laboratory evaluations \[including fasting clinical chemistry, hematology and complete urinalysis (excluding glucose results)\] within the reference range for the testing laboratory, unless the investigator deems the out-of-range results to be not clinically significant.
* Participant has negative test results for hepatitis B surface antigen and antibody to hepatitis C virus, negative RT-PCR test results for COVID-19, negative antibody to HIV virus and no known history of human immunodeficiency virus.
* Participant is considered by the investigator to be in a good health (other than being diabetic) as determined during the medical history review, physical examination findings, electrocardiogram and vital sign results, and clinical laboratory evaluations.
* Participant has estimated Glomerular Filtration Rate (eGFR) greater than 60 mL/min/1.73m\^2.
* A female is eligible to participate if she is not pregnant (negative serum pregnancy test ), not breastfeeding,
* Male participants must agree to use a barrier method of contraceptive during the study and for at least 90 days after the last dose of the study drug
* Participant has the ability and willingness to comply with the requirements and restrictions of the study protocol.

Exclusion Criteria:

* Participant has a c-peptide value less than 0.5 nmol/l.
* Participant has a history of abdominal surgery (except laparoscopic cholecystectomy or uncomplicated appendectomy), thoracic, or non-peripheral vascular surgery within 6 months prior to the study.
* Participant has a history of cardiac arrhythmia, systolic dysfunction, congestive heart failure, angina, myocardial ischemia or infarction, or stroke within 1 year prior to the study, or the presence of an abnormal ECG that, in the investigator's opinion, is clinically significant.
* Participant has a history of drug abuse or a history of alcohol abuse within 2 years prior to the study.
* Participant has a history of cancer that has not been in remission for at least 5 years prior to the first dose of study drug. This criterion does not apply to basal cell or stage I squamous cell carcinoma of the skin.
* Participant has an alanine aminotransferase, alkaline phosphatase, aspartate aminotransferase level above normal range for the testing laboratory, active liver disease.
* Participant has a total bilirubin greater or equal 2 mg/dL.
* Participant is/ was lifetime on any insulin treatment or takes other diabetes treatment (except metformin).
* Participant has a history of proteinuria ≥300 mg/day on a 12- or 24-hour urine collection within last year or an albumin/creatinine ratio greater or equal 300 μg/mg.
* Participant has a history of any clinically significant retinopathy, which is defined as more than moderate nonproliferative diabetic retinopathy, any stage of proliferative diabetic retinopathy or any history of laser-treated retinopathy.
* Participant has clinically significant peripheral or autonomic neuropathy.
* Participant has a lifetime history of ulcerative colitis or Crohn's disease, or has undergone gastric resection.
* Participant has a history of a psychiatric disorder that, in Principal Investigator opinion, will affect the subject ability to participate in the study.
* Participant has a lifetime history of angioedema.
* Participant has an acute, clinically significant illness within 30 days prior to the study or any other condition or prior therapy that, in the opinion of the investigator, would make the subject unsuitable for the study.
* Participant is not able to comply with the study scheduled visits.
* Participant is participating in another investigational study or has taken any investigational drug within 90 days prior to the study.",RECRUITING
NCT05133076,Safety and Preliminary Efficacy of BGP345A in Constipation Due to Opioid-based Medications,Opioid-Induced Constipation,"Inclusion Criteria:

I1. Age over 18 years (limit included),

I2. Diagnosed with OIC according to the adapted ROME IV criteria (Mearin F et al, 2016) previously used in clinical evaluation of patients with OIC (Webster LR et al, 2017) and self-reported symptoms assessed by a physician (daily diary check at V1 visit):

* Fewer than three (\<3) spontaneous bowel movements (SBMs) per week. A SBM is defined as a bowel movement without the use of laxatives in the previous 24 hours as recorded in the daily diary.
* And one or more of the following symptoms in at least 25% of bowel movements: straining, feeling of incomplete evacuation, and/or hard/small stools, defined as Bristol Stool Scale (BSS) score lower than 3 (\<3).

I3. With chronic non-cancer pain since at least three months, including the following indications but not limited to: back-pain, rheumatisms and post-operative pain,

I4. Patients received opioids for chronic analgesia (intended treatment ≥6 Weeks) for 1 week or more prior to study start and a stable regimen of opioids for 3 or more days before study entry (V0 visit) and during the whole study ,

I5. Subjects must be willing to discontinue laxative use at screening and only use the rescue laxatives permitted throughout the study duration,

I6. For women:

* Non menopausal with the same reliable contraception since at least 2 cycles before the beginning of the study and agreeing to keep it during the entire duration of the study (condom with spermicide gel, any oral contraceptive, intrauterine device, subcutaneous contraceptive implant, vaginal ring, surgical intervention (bilateral tubal ligation or ovariectomy or hysterectomy), ESSURE system),
* Menopausal without or with hormone replacement therapy,

I7. Good general and mental health with in the opinion of the investigator: no clinically significant and relevant abnormalities of medical history or physical examination,

I8. Able and willing to participate to the study by complying with the protocol procedures as evidenced by his dated and signed informed consent form,

I9. Affiliated with a social security scheme.

Exclusion Criteria:

E1. Involvement in any investigational drug or device study within 30 days prior to this study,

E2. Unable to withdraw other OIC treatments (any kind of laxative other than provided in the study),

E3. History of chronic constipation prior to starting analgesic medication or any potential non-opioid cause of bowel dysfunction that may be a major contributor to the constipation upon investigator judgment,

E4. Surgery planned within the whole study period,

E5. Evidence of active medical diseases affecting bowel transit,

E6. Antibiotic treatment intake within the last month prior the study start (V0),

E7. Unwilling to withdraw probiotic supplements, yoghurts without supplemented bacteria are permitted,

E8. Any history of drug addiction in the past five years,

E9. Pregnant or lactating women or intending to become pregnant,

E10. Unwilling to maintain food habits and current physical activity for the whole study duration,

E11. With a personal history of anorexia nervosa, bulimia or significant eating disorders according to the investigator,

E12. Having a lifestyle deemed incompatible with the study according to the investigator including drug and alcohol abuse,

E13. Taking part in another clinical trial or being in the exclusion period of a previous clinical trial,

E14. Under legal protection (guardianship, wardship) or deprived from his rights following administrative or judicial decision,

E15. Presenting a psychological or linguistic incapability to sign the informed consent,

E16. Impossible to contact in case of emergency.",RECRUITING
NCT06111027,Usability of Vibro-tactile Stimulation to Treat Spasmodic Dysphonia,"Spasmodic Dysphonia, Laryngeal Dystonia","Inclusion Criteria:

* Diagnosis of spasmodic dysphonia (laryngeal dystonia) for a minimum of 6 months with documented symptom relief after Botox injection.
* Diagnosis is made by a voice disorder specialist.

Exclusion Criteria:

* Regular intake of benzodiazepines
* Cognitive impairment: score \< 27 on Mini-mental state examination
* Identifies with a neurological or musculoskeletal impairment affecting speech motor function. These impairments may include a form of: Dyskinesia, Dystonia, Essential Tremor, Huntington's Disease, Multiple System Atrophy, Muscle Tension Dysphonia, Parkinsonism, Progressive Supranuclear Palsy, Spasticity, Intracranial Neoplasm (brain tumor), Spinal Neoplasm, Cerebrovascular Accident (Stroke), Mild Traumatic Brain Injury, Intracranial Hemorrhage, Multiple Sclerosis",RECRUITING
